captured_at_ist,auction_date,auctioneer,lots,qty_arrived_kg,qty_sold_kg,max_price_inr,avg_price_inr,source
2026-04-29 21:35 IST,2026-04-29,IDUKKI Dist.TRADITIONAL CARDAMOM PRODUCER COMPANY Ltd,207,50350.0,49273.4,3270.0,2631.23,spicesboard
2026-04-29 21:35 IST,2026-04-29,"Spice More Trading Company, Kumily",184,53223.1,52944.1,3202.0,2576.22,spicesboard
2026-04-30 14:25 IST,2026-04-30,"Header Systems (India) Limited, Nedumkandam",208,58630.8,53819.8,3245.0,2672.13,spicesboard
2026-05-01 02:15 IST,2026-04-30,"Mas Enterprises, Vandanmettu",231,71280.3,70610.4,3939.0,2651.26,spicesboard
2026-05-03 01:30 IST,2026-05-02,"Cardamom Planters' Association, Santhanpara",80,16832.5,15882.8,3468.0,2616.15,spicesboard
2026-05-03 01:30 IST,2026-05-02,"South Indian Green Cardamom Company Ltd, Kochi",175,41727.0,40228.3,3234.0,2644.42,spicesboard
2026-05-05 03:11 IST,2026-05-04,Green House Cardamom Mktg.India Pvt. Ltd,273,70554.0,69573.1,3240.0,2600.02,spicesboard
2026-05-05 03:11 IST,2026-05-04,"The Kerala Cardamom Processing and Marketing Company Limited, Thekkady",215,62748.3,61438.5,3247.0,2644.51,spicesboard
2026-05-06 02:17 IST,2026-05-05,RNS SPICES,260,66435.5,57790.9,3410.0,2660.4,spicesboard
2026-05-06 02:17 IST,2026-05-05,IDUKKI MAHILA CARDAMOM PRODUCER COMPANY LIMITED,211,49966.8,48679.0,3299.0,2616.3,spicesboard
2026-05-07 03:11 IST,2026-05-06,CARDAMOM GROWERSFOREVER PRIVATE LIMITED,162,23892.8,22534.2,3187.0,2478.1,spicesboard
2026-05-07 03:11 IST,2026-05-06,SPECIALITY INDIAN FOOD PARKS EXPORTS PRIVATE LIMITED,315,91001.4,89090.7,3640.0,2622.66,spicesboard
2026-05-08 02:45 IST,2026-05-07,SUGANDHAGIRI SPICES PROMOTERS&TRADERS Pvt Ltd,339,96706.8,81911.7,3728.0,2458.16,spicesboard
2026-05-08 02:45 IST,2026-05-07,SOUTH INDIAN CARDAMOM ONLINE AUCTION PRIVATE LIMITED,241,56117.4,49568.0,3143.0,2466.16,spicesboard
2026-05-09 02:12 IST,2026-05-08,THE CARDAMOM PLANTERS MARKETING CO-OPERATIVE SOCIETY LIMITED,240,74395.2,70865.2,3468.0,2461.19,spicesboard
2026-05-09 02:12 IST,2026-05-08,CLIMATE NATURAL SPICES PRIVATE LIMITED,153,30176.4,28526.3,3285.0,2479.53,spicesboard
2026-05-12 03:23 IST,2026-05-11,"Mas Enterprises, Vandanmettu",291,84548.3,84548.3,3554.0,2537.7,spicesboard
2026-05-12 03:23 IST,2026-05-11,"Header Systems (India) Limited, Nedumkandam",245,69639.2,66825.2,3096.0,2495.39,spicesboard
2026-05-13 03:25 IST,2026-05-12,"South Indian Green Cardamom Company Ltd, Kochi",240,57030.3,52020.1,3247.0,2472.14,spicesboard
2026-05-13 03:25 IST,2026-05-12,"Cardamom Planters' Association, Santhanpara",75,14357.2,13671.0,3197.0,2375.8,spicesboard
2026-05-14 03:30 IST,2026-05-13,"The Kerala Cardamom Processing and Marketing Company Limited, Thekkady",233,64083.3,62691.8,3128.0,2513.0,spicesboard
2026-05-14 03:30 IST,2026-05-13,Green House Cardamom Mktg.India Pvt. Ltd,254,63247.4,60590.7,3106.0,2412.13,spicesboard
2026-05-15 03:17 IST,2026-05-14,IDUKKI MAHILA CARDAMOM PRODUCER COMPANY LIMITED,208,48338.0,48135.6,3282.0,2515.61,spicesboard
2026-05-15 03:17 IST,2026-05-14,RNS SPICES,225,60440.5,58516.8,3132.0,2551.68,spicesboard
2026-05-16 02:14 IST,2026-05-15,SPECIALITY INDIAN FOOD PARKS EXPORTS PRIVATE LIMITED,228,64624.0,64011.0,3459.0,2525.7,spicesboard
2026-05-16 02:14 IST,2026-05-15,CARDAMOM GROWERSFOREVER PRIVATE LIMITED,167,26318.5,26002.6,3128.0,2428.03,spicesboard
2026-05-17 01:39 IST,2026-05-16,SOUTH INDIAN CARDAMOM ONLINE AUCTION PRIVATE LIMITED,188,42082.6,37128.3,3083.0,2397.69,spicesboard
2026-05-17 01:39 IST,2026-05-16,SUGANDHAGIRI SPICES PROMOTERS&TRADERS Pvt Ltd,283,79635.6,76751.5,3492.0,2464.84,spicesboard
2026-05-19 03:19 IST,2026-05-18,CLIMATE NATURAL SPICES PRIVATE LIMITED,178,34956.5,31267.6,3217.0,2419.4,spicesboard
2026-05-19 03:19 IST,2026-05-18,THE CARDAMOM PLANTERS MARKETING CO-OPERATIVE SOCIETY LIMITED,222,64066.2,62671.8,3206.0,2442.64,spicesboard
2026-05-20 03:30 IST,2026-05-19,IDUKKI Dist.TRADITIONAL CARDAMOM PRODUCER COMPANY Ltd,203,47315.3,47045.8,3313.0,2417.44,spicesboard
